Specs,Score,CORR_Specs,CORR_Score,IMP,Best_Score
TOTUSJH_median,24535.566862389893,TOTUSJH_CORRECTED_median,24535.978881889157,0.001679274424656936,24535.978881889157
TOTUSJH_min,24410.267503102266,TOTUSJH_CORRECTED_min,24437.06095002102,0.1097630204804101,24437.06095002102
TOTUSJH_mean,24430.923640389414,TOTUSJH_CORRECTED_mean,24435.25770203948,0.017740064656824654,24435.25770203948
TOTUSJH_last_value,24174.261819609706,TOTUSJH_CORRECTED_last_value,24083.23350291438,-0.3765505535374252,24174.261819609706
TOTBSQ_last_value,23401.74791197676,TOTBSQ_CORRECTED_last_value,22925.388719511506,-2.035570993487449,23401.74791197676
TOTBSQ_median,23142.76070828695,TOTBSQ_CORRECTED_median,22631.795972461943,-2.2078815153718527,23142.76070828695
TOTBSQ_mean,23125.867702346455,TOTBSQ_CORRECTED_mean,22628.703838073703,-2.1498171254448004,23125.867702346455
TOTPOT_min,23105.252760438347,TOTPOT_CORRECTED_min,22252.967091972936,-3.6887095644533487,23105.252760438347
TOTBSQ_min,23089.892794902018,TOTBSQ_CORRECTED_min,22453.462236070038,-2.756316646790568,23089.892794902018
TOTUSJZ_min,22520.456622261645,TOTUSJZ_CORRECTED_min,22651.922978699607,0.5837641689201232,22651.922978699607
TOTUSJZ_median,22355.627984109204,TOTUSJZ_CORRECTED_median,22448.79886678025,0.41676701158774493,22448.79886678025
TOTBSQ_max,22406.77762202393,TOTBSQ_CORRECTED_max,22246.895709109544,-0.7135426414784193,22406.77762202393
TOTUSJZ_mean,22124.42378253314,TOTUSJZ_CORRECTED_mean,22218.654868698384,0.4259143067022514,22218.654868698384
TOTUSJZ_last_value,21482.864097527156,TOTUSJZ_CORRECTED_last_value,21309.94261073919,-0.8049275273676004,21482.864097527156
SAVNCPP_max,20660.844924479512,SAVNCPP_CORRECTED_max,19843.761922054353,-3.9547414706987984,20660.844924479512
ABSNJZH_max,20380.75963267014,ABSNJZH_CORRECTED_max,18631.933074614422,-8.580772206607875,20380.75963267014
USFLUX_last_value,19634.899854539537,USFLUX_CORRECTED_last_value,19898.2608221471,1.3412900985419227,19898.2608221471
SAVNCPP_mean,19816.383353416302,SAVNCPP_CORRECTED_mean,19130.1601167578,-3.46290856621018,19816.383353416302
USFLUX_min,19770.529870445655,USFLUX_CORRECTED_min,19693.909854398884,-0.38754659864381014,19770.529870445655
SAVNCPP_median,19614.671426106863,SAVNCPP_CORRECTED_median,18945.99702364261,-3.409052274891831,19614.671426106863
USFLUX_mean,19347.313712851792,USFLUX_CORRECTED_mean,19564.55799332539,1.1228653429508926,19564.55799332539
